"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","天气查询服务项目","0","核心API接口测试","1","0","查询石家庄天气功能","0"
"0","天气查询服务项目","0","核心API接口测试","1","0","查询北京天气功能","0"
"0","天气查询服务项目","0","核心API接口测试","1","0","查询天津天气功能","0"
